column1
lit Bedroom + Parking Space for Lease
1,PENTHOUSE SUITE - Large 2 Bedroom Apartment with Parking
2,=2 BD Apartment Utilities Included w 2 Parking =
3,"= 4 bed 2 bath w/ walk out bsmt, indoor parking and backyard ="
4,One Bedroom Suite Boasts 585 Sq. Ft. Very Functional Living Space!
5,"Perfect Layout! , 2 Separate Bedrooms With 1000+ Sq Ft Of Living Space"
6,Loft Living In The Heart Of The Waterfront! With Parking and Locker!
7,"Renovated 3 Bedroom Bungalow On A Beautiful, Large Private Lot!"
8,Cozy 2 Bedroom Corner Suite with Parking and City Views
9,2209 Yonge
10,#1212 Adelaide
11,#1110 - Britain
12,Bond
13,#1602 Victoria
14,#1211 Lombard
15,Dazzling 3 Bedroom 2 Bathroom Corner Suite with Parking and Balcony
16,Exciting 2 Bedroom 2 Bathroom Suite with Den and Parking
17,Spacious 1 Bed + Den Corner Suite w/Parking & Fireplace
18,Spacious 2 Bedroom Suite with Balcony and Parking
19,Stylish 2 Bedroom 2 Bathroom Suite with 2 Balconies and Parking
20,"1 Bedroom, potential live/work 2nd floor spaces"
21,1200 Sq.ft. 2 Bed + 2 Bath Condo + 2 Parking Spots! – 190 Manitoba Str
22,SPACIOUS 2+1 TURNKEY EXECUTIVE FULLY FURNISHED SUB-PH IN ONE BLOOR!
23,Rarely Offered South-East Corner Suite In Sought-After Boutique Bld.
24,"155-157 STANLEY- TOP FLOOR, Mimico GO, 2BR/Parking/Laundry"
25,"21 SWANWICK-10, Unique Church Conversion **3BR/2Bath/Yard/Parking**"
26,"555 SHUTER, Prof. Managed 2BR+Den (3BR) Townhouse-3 Bath-Parking-PATIO"
27,"601 LOGAN-BSMT, Gorgeous Condo Alternative, 2BR/2Bath/Parking/Patio"
28,"563 JONES AVE, Main Floor 1BR with Parking/Yard/Utilities FREE"
29,"135 CHISHOLM- MAIN FLOOR, Newly Reno'd 1BR with Laundry/Parking/AC"
